Origin,Destination,USD,Alternate origin name,"kayak.com 20190929 for 20191010-20191026 Round trip, Ames added 20200209, 20200307-20200317",,
New York,Tokyo,1333,,"JAL, nonstop",,
Chicago,Tokyo,1093,,"ANA, nonstop",,
Detroit,Tokyo,2076,,Delta nonstop,,
Seattle,Tokyo,1364,,JAL nonstop,,
Pittsburgh,Tokyo,724,PITTSBURGH (PENNSYLVA),Delta one stop,,
Memphis,Tokyo,1770,,Delta one stop,,
Washington,Tokyo,1614,,"ANA, nonstop",,
Cincinnati,Tokyo,1591,,Delta one stop,,
Frankfurt,Tokyo,1791,,"Lufthansa, nonstop",,
Hamburg,Tokyo,1051,,"KLM, one stop",,
Munich,Tokyo,1400,Muenchen,"Lufthansa, nonstop",,
Milan,Tokyo,1600,,"Alitalia, nonstop",,
Rome,Tokyo,1655,Roma,"Alitalia, nonstop",,
Naples,Tokyo,1559,Napoli,"Alitalia, one stop",,
Geneva,Tokyo,1538,,"KLM, one stop",,
Moscow,Tokyo,787,,"S7 Airlines, nonstop",,
Paris,Tokyo,1325,Orsay,"ANA, nonstop",,
Marseille,Tokyo,1514,,"AF, one stop",,
Vienna,Tokyo,1286,,"Austrian, nonstop",,
Beijing,Tokyo,547,,JAL nonstop,,
Shanghai,Tokyo,246,,HKG nonstop,,
Adelaide,Tokyo,837,,Cathay one stop,,
Ankara,Tokyo,1087,,Qatar one stop,,
Chennai,Tokyo,636,Madras,Cathay one stop,,
Seoul,Tokyo,196,,Korean nonstop,,
Hanoi,Tokyo,441,,JAL nonstop,,
Honolulu,Tokyo,1151,,Korean nonstop,,
Hyderabad,Tokyo,615,,Cathay one stop,,
Jaipur,Tokyo,1080,,"Air India, one stop",,
Krakow,Tokyo,1172,,"KLM, one stop",,
Kuala Lumpur,Tokyo,489,,Air Asia X nonstop,,
Kyiv,Tokyo,785,Kiev,Qatar one stop,,
Ljubljana,Tokyo,1410,Ljubliana,"Lufthansa, one stop",,
Melbourne,Tokyo,784,,Quantas nonstop,,
Sydney,Tokyo,698,,JAL nonstop,,
Mexico City,Tokyo,1533,,"ANA, one stop",,
Taipei,Tokyo,278,,Jetstar nonstop,,
Montreal,Tokyo,1033,,Air Canada nonstop,,
Mumbai,Tokyo,1285,Bombay,"ANA, nonstop",,
Tel Aviv,Tokyo,1255,Tel-Aviv,"LOT, one stop",,
Torino,Tokyo,1197,Turin,"KLM, one stop",,
Vancouver,Tokyo,1115,,Air Canada nonstop,,
Yerevan,Tokyo,1017,,"S7 Airlines, one stop",,
Ames,Tokyo,1743,Des Moines,"ANA, one stop",,
