Institution Short Name/Consortium,Institution Full Name,Address Line 1,Address Line 2,Country,City,Postal Code,Link,Department,IR,Consortium members,Region,Show members
Panjab,Panjab Univ.,Panjab University,Sector 14,India,Chandigarh,160014,http://www.puchd.ac.in/,Department of Physics,Jasbir B.  Singh,Punjab Agricultural Univ.(PAU),Asia,Panjab
DESY,Deutsches Elektronen-Synchrotron(DESY),Notkestr. 85,-,Germany,Hamburg,22607,https://belle2.desy.de/,-,Carsten   Niebuhr,Universität Hamburg,Europe,DESY
Napoli,INFN and Federico II Univ. Napoli,Monte S. Angelo,Via Cintia,Italy,Napoli,80126,http://www.na.infn.it/,-,Guglielmo   De Nardo,INFN Sezione di Napoli<br><br>Universita di Napoli Federico II,Europe,Napoli
Padova,INFN and Univ. Padova,Via F. Marzolo 8,-,Italy,Padova,35131,http://www.pd.infn.it/,-,Roberto   Stroili,Universita di Padova<br><br>INFN Sezione di Padova,Europe,Padova
Perugia,INFN and Univ. Perugia,Via A. Pascoli,-,Italy,Perugia,6123,http://www.pg.infn.it/,-,Claudia   Cecchi,Universita di Perugia<br><br>INFN Sezione di Perugia,Europe,Perugia
Pisa,INFN and Univ. Pisa,"L.go B. Pontecorvo, 3",-,Italy,Pisa,56127,http://www.pi.infn.it/,-,Francesco   Forti,INFN Sezione di Pisa<br><br>Universita di Pisa,Europe,Pisa
Roma1,INFN Roma1 and Enea Casaccia,"Via Anguillarese, 301",-,Italy,Roma,123,http://www.enea.it/it/centro-ricerche-casaccia/,-,Fabrizio   Ameli,INFN Sezione di Roma<br><br>Universita di Roma La Sapienza<br><br>ENEA,Europe,Roma1
Roma Tre, INFN Sezione di Roma Tre and Univ. Roma Tre,"Via Della Vasca Navale, 84",-,Italy,Roma,146,http://www.roma3.infn.it/,Physics,Paolo   Branchini,Universita di Roma Tre<br><br>INFN Sezione di Roma Tre,Europe,Roma Tre
Torino,INFN and Univ. Torino,Via P. Giuria 1 I,-,Italy,Torino,10125,http://www.to.infn.it/,-,Roberto   Mussa,INFN Sezione di Torino<br><br>Universita di Torino,Europe,Torino
Trieste,INFN and Univ. Trieste,"Via A.Valerio, 2",-,Italy,Trieste,34127,http://www.ts.infn.it/,-,Lorenzo   Vitale,INFN Sezione di Trieste<br><br>Universita di Trieste,Europe,Trieste
Ljubljana(Uni-LJ),Univ. of Ljubljana,Jadranska 19,-,Slovenia,Ljubljana,SI-1000,http://www.fmf.uni-lj.si/en/,Faculty of Mathematics and Physics,Peter   Krizan,Univ. of Maribor<br><br>Jozef Stefan Institute,Europe,Ljubljana(Uni-LJ)
KEK,High Energy Accelerator Research Organization (KEK),1-1 Oho,Ibaraki-ken,Japan,Tsukuba-shi,305-0801,http://www.kek.jp/intra-e/index.html,Institute of Particle and Nuclear Studies,Takanori   Hara,SOKENDAI (The Graduate University for Advanced Studies)<br><br>J-PARC Branch<br><br> KEK Theory Center<br><br> High Energy Accelerator Research Organization<br><br>Theoretical Research Division<br><br> Nishina Center<br><br> RIKEN,Japan,KEK
Nara-Wu,Nara Women's Univ.,Kitauoya Nishi-machi,-,Japan,Nara,630-8506,http://webhepl.cc.nara-wu.ac.jp/index-e.html,"High Energy Laboratory, Physics Department",Kenkichi   Miyabayashi,Nara Univ. of Education,Japan,Nara-Wu
NPC,Nuclear Physics Consortium (NPC),10-1 Mihogaoka Osaka,-,Japan,Ibaraki-city,567-0047,http://www.rcnp.osaka-u.ac.jp/eng/topics/index.html,-,Takashi   Nakano,Tokyo Insitute of Technology<br><br>Gifu University<br><br>Kyoto University<br><br>Kyoto Sangyo University<br><br>Japan Atomic Energy Agency<br><br>Showa Pharmaceutical University<br><br>Miyazaki University<br><br>Research Center for Nuclear Physics<br><br> Osaka University<br><br>Academia Sinica<br><br>Earthquake Research Institute<br><br> University of Tokyo,Japan,NPC
BINP,Budker Institute of Nuclear Physics(BINP),Lavrentiev Ave. 11,-,Russia,Novosibirsk,630090,http://www.inp.nsk.su/index.en.shtml,High Energy Physics,Alexander E.  Bondar,Novosibirsk State University (NSU),Russia,BINP
Victoria,Univ. of Victoria,"P.O. Box 3055 Victoria, B.C.",-,Canada,Victoria,V8W 3P6,http://www.uvic.ca/science/physics/,Department of Physics and Astronomy,John Michael  Roney,Institute of Particle Physics (Canada),America,Victoria
Juelich,Forschungszentrum Juelich,-,-,Germany,Juelich,-,http://www.fz-juelich.de/,-,Elisabetta   Prencipe,-,Europe,Juelich
BUAP,Benemerita Universidad Autonoma de Puebla (BUAP),BUAP Ciudad Universitaria Puebla,-,Mexico,Puebla,72570,http://www.fcfm.buap.mx/,Facultad de Ciencias Fisico Matematicas,Mario Ivan  Martinez Hernandez,-,America,BUAP
Malaya,Univ. of Malaya,-,-,Malaysia,Kuala Lumpur,50603,https://www.um.edu.my/,-,Wan Ahmad Tajuddin  Wan Abdullah,-,Asia,Malaya
Chennai,Institute of Mathematical and Sciences,-,-,India,Chennai,600113,https://www.imsc.res.in/theoretical_physics,Theoretical Physics,Rahul   Sinha,-,Asia,Chennai
Sydney,Univ. of Sydney,(Building A28) NSW,-,Australia,Sydney,2006,http://www.usyd.edu.au/,"School of Physics, Particle Physics Group",Kevin Ernest  Varvell,-,Asia,Sydney
UNAM,National Autonomous Univ. of Mexico(UNAM),"AP 20-364, Mexico DF",-,Mexico,Mexico City,-,https://www.unam.mx/,-,Genaro Toledo  Sanchez,-,America,UNAM
Montreal,Univ. of Montreal,"C. P. 6128, Succ.  Centre-Ville, Montreal, Quebec",-,Canada,Montreal,H3C 3J7,http://en.phys.umontreal.ca/index.php,"Physique des Particules, Universite de Montreal",Paul   Taras,-,America,Montreal
LNNU, LiaoNing Normal University(LNNU),No.850 Huanghe Road Shahekou District,Dalian,China,Liaoning,116029,http://english.lnnu.edu.cn,School of physics and electronic technology,Chunhua   Li,-,Asia,LNNU
Soochow,Soochow University,Shizi street No.1,Jiangsu Prov.,China,Suzhou,215006,http://school.cucas.edu.cn/Soochow-University-198,School of Physical Science and Technology,Xinping   Xu,-,Asia,Soochow
Melbourne,Univ. of Melbourne,Parkville Victoria,-,Australia,Melbourne,3010,http://www.unimelb.edu.au/,"School of Physics, Melbourne, Experimental Particle Physics Group",Phillip   Urquijo,-,Asia,Melbourne
KISTI,Korea Institute of Science and Technology Information(KISTI),"245 Daehak-ro, Yuseong-gu",-,South Korea,Daejeon,34141,https://hep.kisti.re.kr,High Energy Physics Group,Kihyeon   Cho,-,Asia,KISTI
IIT-Bhubaneswar,Indian Institute of Technology Bhubaneswar,Samantapuri (Rearside of Hotel Swosti Plaza),Bhubaneswar,India,Orissa,751 013,http://www.iitbbs.ac.in/,School of Basic Sciences,Seema    Bahinipati,-,Asia,IIT-Bhubaneswar
Chiang-Mai,Chiang Mai Univ.,P.O. Box 70,Chiang Mai,Thailand,Chiang Mai,50202,http://www.science.cmu.ac.th/,-,Udomrat   Tippawan,-,Asia,Chiang-Mai
HEPHY Vienna,"Institute of High Energy Physics, Austrian Academy of Sciences",Nikolsdorfer Gasse 18,-,Austria,Vienna,A 1050,http://belle.hephy.at/,-,Christoph   Schwanda,-,Europe,HEPHY Vienna
IHEP-China,Institute of High Energy Physics(IHEP),19B Yuquan Road,-,China,Beijing,100049,http://english.ihep.cas.cn/,Experimental Physics Division,Changzheng   Yuan,-,Asia,IHEP-China
UBC,Univ. of British Columbia(UBC),6224 Agricultural Road,-,Canada,Vancouver,BC V6T 1Z1,http://www.phas.ubc.ca/,Dept. of Physics and Astronomy,Christopher   Hearty,-,America,UBC
Korea,Korea Univ.(KU),5 1 Anam,Sungbuk,South Korea,Seoul,136 701,http://www.korea.edu/,Department of Physics,Eunil   Won,-,Asia,Korea
Tohoku,Tohoku Univ.,6-3 Aza-Aoba,"Aramaki, Aoba-ku",Japan,Sendai,980-8578,http://epx.phys.tohoku.ac.jp/eeweb,Department of Physics,Hitoshi   Yamamoto,-,Japan,Tohoku
Nagoya,Nagoya Univ.,Furou-cho Chikusa-ku,Aichi,Japan,Nagoya-shi,464-8602,http://www.nagoya-u.ac.jp/en/,High Energy Physics Laboratory,Kenji   Inami,-,Japan,Nagoya
Goettingen,Univ. of Goettingen,Friedrich-Hund-Platz 1,-,Germany,Goettingen,D-37077,http://www.uni-goettingen.de/en/1.html,Faculty of Physics,Ariane   Frey,-,Europe,Goettingen
