Disk(PB), Fraction, #tickets,   # down, days down, Country., Uses 2021 resource estimate.
0.02,0.002,0,0,0, VietNam,
0.04,0.004,26,4,6.583, Turkey,
0.04,0.004,0,0,0, Armenia,
0.04,0.004,0,0,0, Spain,
0.04,0.004,0,0,0, Saudi Arabia,
0.04,0.004,0,0,0, Malaysia,
0.081,0.009,6,3,3.884, Israel,
0.081,0.009,0,0,0, Thailand,
0.081,0.009,0,0,0, Ukraine,
0.081,0.009,0,0,0, Czech,
0.121,0.013,0,0,0, Mexico,
0.121,0.013,12,13,63.83, Austria,
0.141,0.016,70,3,8.625, Taiwan,
0.162,0.018,15,0,0, Australia,
0.162,0.018,15,2,28.167, Poland,
0.182,0.02,29,3,1.739, Slovenia,
0.21,0.023,3,5,3.625, France,
0.23,0.025,0,0,0, Canada,
0.263,0.029,0,0,0, India,
0.404,0.045,16,0,0, Korea,
0.566,0.063,0,0,0, China,
0.566,0.063,0,0,0, Russia,
0.982,0.109,138,29,29.522, Italy,
1.349,0.15,23,0,0, USA,
1.357,0.15,30,21,9.793, Germany,
1.662,0.184,53,20,27.573, KEK,
,,,,,,
Disk(PB) = Pledged disk in the 2021 resource estimate,,,,,,
Fraction = Fraction of total pledged disk per country,,,,,,
#tickets = number of GGUS tickets 2016-present,,,,,,
# down = number of incidents of downtime for storage elements from GOCDB 1-Jan-2020 to present,,,,,,
days down = days of downtime for storage elements from GOCDB 1-Jan-2020 to present,,,,,,
